,targetrets,targetvols,type
0,-6.758478613506236,3.04,"risk adjusted surplus: N(5.03%, 6.06%)"
1,-5.089762246854889,3.31,"risk adjusted surplus: N(5.03%, 6.06%)"
2,-2.8743833068975246,3.93,"risk adjusted surplus: N(5.03%, 6.06%)"
3,0.31608296705829175,5.13,"risk adjusted surplus: N(5.03%, 6.06%)"
4,1.1500624516647187,7.19,"risk adjusted surplus: N(5.03%, 6.06%)"
5,-1.6277519426159524,9.6,"risk adjusted surplus: N(5.03%, 6.06%)"
6,-4.649486471953547,12.14,"risk adjusted surplus: N(5.03%, 6.06%)"
7,-7.784707913100376,14.76,"risk adjusted surplus: N(5.03%, 6.06%)"
8,-10.998234736224184,17.41,"risk adjusted surplus: N(5.03%, 6.06%)"
9,-14.22607351776124,20.08,"risk adjusted surplus: N(5.03%, 6.06%)"
0,-15.825357566937656,3.04,"risk adjusted surplus 2: N(5%, 12%)"
1,-14.092468318028937,3.31,"risk adjusted surplus 2: N(5%, 12%)"
2,-11.816507459659567,3.93,"risk adjusted surplus 2: N(5%, 12%)"
3,-8.566455189005433,5.13,"risk adjusted surplus 2: N(5%, 12%)"
4,-3.9307662049002534,7.19,"risk adjusted surplus 2: N(5%, 12%)"
5,1.2998734022442788,9.6,"risk adjusted surplus 2: N(5%, 12%)"
6,-0.3493922211980056,12.14,"risk adjusted surplus 2: N(5%, 12%)"
7,-3.4328954754536882,14.76,"risk adjusted surplus 2: N(5%, 12%)"
8,-6.597439001615992,17.41,"risk adjusted surplus 2: N(5%, 12%)"
9,-9.776948643325955,20.08,"risk adjusted surplus 2: N(5%, 12%)"
0,-25.31880668659913,3.04,"risk adjusted surplus 3: N(7%, 18%)"
1,-23.508234125547034,3.31,"risk adjusted surplus 3: N(7%, 18%)"
2,-21.159225141019395,3.93,"risk adjusted surplus 3: N(7%, 18%)"
3,-17.837595273562414,5.13,"risk adjusted surplus 3: N(7%, 18%)"
4,-13.134497830849208,7.19,"risk adjusted surplus 3: N(7%, 18%)"
5,-7.8377113094171715,9.6,"risk adjusted surplus 3: N(7%, 18%)"
6,-2.3625966173124264,12.14,"risk adjusted surplus 3: N(7%, 18%)"
7,0.7531941536516056,14.76,"risk adjusted surplus 3: N(7%, 18%)"
8,-2.353472085183222,17.41,"risk adjusted surplus 3: N(7%, 18%)"
9,-5.476042912906612,20.08,"risk adjusted surplus 3: N(7%, 18%)"
